work	abi	이름	Lv	갈래	핸들러	호출VA	생성자	종류	Obs	모션	자리	x	y	z	붙일곳	단계	지연	수명	그림	영상	영상인자
537	35	소울 스트라이크	10	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
537	35	소울 스트라이크	10	핸들러	0x100ad240	0x100ad2c0	0x100c1fa0	sound	1346	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
537	35	소울 스트라이크	10	핸들러	0x100ad240	0x100ad3b6	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	700:6	-	-
537	35	소울 스트라이크	10	핸들러	0x100ad240	0x100ad42f	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40-10	나+0x86+20	esp+0x28	맵	0	0	&esp+0x14+0x1	700:6	-	-
537	35	소울 스트라이크	10	핸들러	0x100ad240	0x100ad53f	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
537	35	소울 스트라이크	10	핸들러	0x100ad240	0x100ad5b0	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
537	35	소울 스트라이크	10	핸들러	0x100ad240	0x100ad6b5	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	esp+0x14	-	-	-
537	35	소울 스트라이크	10	핸들러	0x100ad240	0x100ad72a	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	&esp+0x14+0x1	-	-	-
537	35	소울 스트라이크	10	핸들러	0x100ad240	0x100ad82d	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
537	35	소울 스트라이크	10	핸들러	0x100ad240	0x100ad89e	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40+10	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
538	35	소울 스트라이크	9	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
538	35	소울 스트라이크	9	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
538	35	소울 스트라이크	9	핸들러	0x100ad240	0x100ad2c0	0x100c1fa0	sound	1346	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
538	35	소울 스트라이크	9	핸들러	0x100ad240	0x100ad3b6	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	700:6	-	-
538	35	소울 스트라이크	9	핸들러	0x100ad240	0x100ad42f	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40-10	나+0x86+20	esp+0x28	맵	0	0	&esp+0x14+0x1	700:6	-	-
538	35	소울 스트라이크	9	핸들러	0x100ad240	0x100ad53f	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
538	35	소울 스트라이크	9	핸들러	0x100ad240	0x100ad5b0	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
538	35	소울 스트라이크	9	핸들러	0x100ad240	0x100ad6b5	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	esp+0x14	-	-	-
538	35	소울 스트라이크	9	핸들러	0x100ad240	0x100ad72a	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	&esp+0x14+0x1	-	-	-
538	35	소울 스트라이크	9	핸들러	0x100ad240	0x100ad82d	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
538	35	소울 스트라이크	9	핸들러	0x100ad240	0x100ad89e	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40+10	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
539	35	소울 스트라이크	8	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
539	35	소울 스트라이크	8	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
539	35	소울 스트라이크	8	핸들러	0x100ad240	0x100ad2c0	0x100c1fa0	sound	1346	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
539	35	소울 스트라이크	8	핸들러	0x100ad240	0x100ad3b6	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	700:6	-	-
539	35	소울 스트라이크	8	핸들러	0x100ad240	0x100ad42f	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40-10	나+0x86+20	esp+0x28	맵	0	0	&esp+0x14+0x1	700:6	-	-
539	35	소울 스트라이크	8	핸들러	0x100ad240	0x100ad53f	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
539	35	소울 스트라이크	8	핸들러	0x100ad240	0x100ad5b0	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
539	35	소울 스트라이크	8	핸들러	0x100ad240	0x100ad6b5	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	esp+0x14	-	-	-
539	35	소울 스트라이크	8	핸들러	0x100ad240	0x100ad72a	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	&esp+0x14+0x1	-	-	-
539	35	소울 스트라이크	8	핸들러	0x100ad240	0x100ad82d	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
539	35	소울 스트라이크	8	핸들러	0x100ad240	0x100ad89e	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40+10	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
540	35	소울 스트라이크	7	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
540	35	소울 스트라이크	7	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
540	35	소울 스트라이크	7	핸들러	0x100ad240	0x100ad2c0	0x100c1fa0	sound	1346	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
540	35	소울 스트라이크	7	핸들러	0x100ad240	0x100ad3b6	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	700:6	-	-
540	35	소울 스트라이크	7	핸들러	0x100ad240	0x100ad42f	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40-10	나+0x86+20	esp+0x28	맵	0	0	&esp+0x14+0x1	700:6	-	-
540	35	소울 스트라이크	7	핸들러	0x100ad240	0x100ad53f	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
540	35	소울 스트라이크	7	핸들러	0x100ad240	0x100ad5b0	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
540	35	소울 스트라이크	7	핸들러	0x100ad240	0x100ad6b5	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	esp+0x14	-	-	-
540	35	소울 스트라이크	7	핸들러	0x100ad240	0x100ad72a	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	&esp+0x14+0x1	-	-	-
540	35	소울 스트라이크	7	핸들러	0x100ad240	0x100ad82d	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
540	35	소울 스트라이크	7	핸들러	0x100ad240	0x100ad89e	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40+10	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
541	35	소울 스트라이크	6	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
541	35	소울 스트라이크	6	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
541	35	소울 스트라이크	6	핸들러	0x100ad240	0x100ad2c0	0x100c1fa0	sound	1346	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
541	35	소울 스트라이크	6	핸들러	0x100ad240	0x100ad3b6	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	700:6	-	-
541	35	소울 스트라이크	6	핸들러	0x100ad240	0x100ad42f	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40-10	나+0x86+20	esp+0x28	맵	0	0	&esp+0x14+0x1	700:6	-	-
541	35	소울 스트라이크	6	핸들러	0x100ad240	0x100ad53f	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
541	35	소울 스트라이크	6	핸들러	0x100ad240	0x100ad5b0	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
541	35	소울 스트라이크	6	핸들러	0x100ad240	0x100ad6b5	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	esp+0x14	-	-	-
541	35	소울 스트라이크	6	핸들러	0x100ad240	0x100ad72a	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	&esp+0x14+0x1	-	-	-
541	35	소울 스트라이크	6	핸들러	0x100ad240	0x100ad82d	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
541	35	소울 스트라이크	6	핸들러	0x100ad240	0x100ad89e	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40+10	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
542	35	소울 스트라이크	5	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
542	35	소울 스트라이크	5	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
542	35	소울 스트라이크	5	핸들러	0x100ad240	0x100ad2c0	0x100c1fa0	sound	1346	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
542	35	소울 스트라이크	5	핸들러	0x100ad240	0x100ad3b6	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	700:6	-	-
542	35	소울 스트라이크	5	핸들러	0x100ad240	0x100ad42f	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40-10	나+0x86+20	esp+0x28	맵	0	0	&esp+0x14+0x1	700:6	-	-
542	35	소울 스트라이크	5	핸들러	0x100ad240	0x100ad53f	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
542	35	소울 스트라이크	5	핸들러	0x100ad240	0x100ad5b0	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
542	35	소울 스트라이크	5	핸들러	0x100ad240	0x100ad6b5	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	esp+0x14	-	-	-
542	35	소울 스트라이크	5	핸들러	0x100ad240	0x100ad72a	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	&esp+0x14+0x1	-	-	-
542	35	소울 스트라이크	5	핸들러	0x100ad240	0x100ad82d	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
542	35	소울 스트라이크	5	핸들러	0x100ad240	0x100ad89e	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40+10	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
543	35	소울 스트라이크	4	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
543	35	소울 스트라이크	4	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
543	35	소울 스트라이크	4	핸들러	0x100ad240	0x100ad2c0	0x100c1fa0	sound	1346	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
543	35	소울 스트라이크	4	핸들러	0x100ad240	0x100ad3b6	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	700:6	-	-
543	35	소울 스트라이크	4	핸들러	0x100ad240	0x100ad42f	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40-10	나+0x86+20	esp+0x28	맵	0	0	&esp+0x14+0x1	700:6	-	-
543	35	소울 스트라이크	4	핸들러	0x100ad240	0x100ad53f	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
543	35	소울 스트라이크	4	핸들러	0x100ad240	0x100ad5b0	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
543	35	소울 스트라이크	4	핸들러	0x100ad240	0x100ad6b5	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	esp+0x14	-	-	-
543	35	소울 스트라이크	4	핸들러	0x100ad240	0x100ad72a	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	&esp+0x14+0x1	-	-	-
543	35	소울 스트라이크	4	핸들러	0x100ad240	0x100ad82d	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
543	35	소울 스트라이크	4	핸들러	0x100ad240	0x100ad89e	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40+10	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
544	35	소울 스트라이크	3	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
544	35	소울 스트라이크	3	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
544	35	소울 스트라이크	3	핸들러	0x100ad240	0x100ad2c0	0x100c1fa0	sound	1346	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
544	35	소울 스트라이크	3	핸들러	0x100ad240	0x100ad3b6	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	700:6	-	-
544	35	소울 스트라이크	3	핸들러	0x100ad240	0x100ad42f	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40-10	나+0x86+20	esp+0x28	맵	0	0	&esp+0x14+0x1	700:6	-	-
544	35	소울 스트라이크	3	핸들러	0x100ad240	0x100ad53f	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
544	35	소울 스트라이크	3	핸들러	0x100ad240	0x100ad5b0	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
544	35	소울 스트라이크	3	핸들러	0x100ad240	0x100ad6b5	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	esp+0x14	-	-	-
544	35	소울 스트라이크	3	핸들러	0x100ad240	0x100ad72a	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	&esp+0x14+0x1	-	-	-
544	35	소울 스트라이크	3	핸들러	0x100ad240	0x100ad82d	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
544	35	소울 스트라이크	3	핸들러	0x100ad240	0x100ad89e	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40+10	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
545	35	소울 스트라이크	2	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
545	35	소울 스트라이크	2	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
545	35	소울 스트라이크	2	핸들러	0x100ad240	0x100ad2c0	0x100c1fa0	sound	1346	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
545	35	소울 스트라이크	2	핸들러	0x100ad240	0x100ad3b6	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	700:6	-	-
545	35	소울 스트라이크	2	핸들러	0x100ad240	0x100ad42f	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40-10	나+0x86+20	esp+0x28	맵	0	0	&esp+0x14+0x1	700:6	-	-
545	35	소울 스트라이크	2	핸들러	0x100ad240	0x100ad53f	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
545	35	소울 스트라이크	2	핸들러	0x100ad240	0x100ad5b0	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
545	35	소울 스트라이크	2	핸들러	0x100ad240	0x100ad6b5	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	esp+0x14	-	-	-
545	35	소울 스트라이크	2	핸들러	0x100ad240	0x100ad72a	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	&esp+0x14+0x1	-	-	-
545	35	소울 스트라이크	2	핸들러	0x100ad240	0x100ad82d	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
545	35	소울 스트라이크	2	핸들러	0x100ad240	0x100ad89e	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40+10	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
546	35	소울 스트라이크	11	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
546	35	소울 스트라이크	11	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
546	35	소울 스트라이크	11	핸들러	0x100ad240	0x100ad2c0	0x100c1fa0	sound	1346	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
546	35	소울 스트라이크	11	핸들러	0x100ad240	0x100ad3b6	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	700:6	-	-
546	35	소울 스트라이크	11	핸들러	0x100ad240	0x100ad42f	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40-10	나+0x86+20	esp+0x28	맵	0	0	&esp+0x14+0x1	700:6	-	-
546	35	소울 스트라이크	11	핸들러	0x100ad240	0x100ad53f	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
546	35	소울 스트라이크	11	핸들러	0x100ad240	0x100ad5b0	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
546	35	소울 스트라이크	11	핸들러	0x100ad240	0x100ad6b5	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	esp+0x14	-	-	-
546	35	소울 스트라이크	11	핸들러	0x100ad240	0x100ad72a	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	&esp+0x14+0x1	-	-	-
546	35	소울 스트라이크	11	핸들러	0x100ad240	0x100ad82d	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
546	35	소울 스트라이크	11	핸들러	0x100ad240	0x100ad89e	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40+10	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
547	35	소울 스트라이크	20	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
547	35	소울 스트라이크	20	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
547	35	소울 스트라이크	20	핸들러	0x100ad240	0x100ad2c0	0x100c1fa0	sound	1346	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
547	35	소울 스트라이크	20	핸들러	0x100ad240	0x100ad3b6	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	700:6	-	-
547	35	소울 스트라이크	20	핸들러	0x100ad240	0x100ad42f	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40-10	나+0x86+20	esp+0x28	맵	0	0	&esp+0x14+0x1	700:6	-	-
547	35	소울 스트라이크	20	핸들러	0x100ad240	0x100ad53f	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
547	35	소울 스트라이크	20	핸들러	0x100ad240	0x100ad5b0	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
547	35	소울 스트라이크	20	핸들러	0x100ad240	0x100ad6b5	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	esp+0x14	-	-	-
547	35	소울 스트라이크	20	핸들러	0x100ad240	0x100ad72a	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	&esp+0x14+0x1	-	-	-
547	35	소울 스트라이크	20	핸들러	0x100ad240	0x100ad82d	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
547	35	소울 스트라이크	20	핸들러	0x100ad240	0x100ad89e	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40+10	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
548	35	소울 스트라이크	19	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
548	35	소울 스트라이크	19	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
548	35	소울 스트라이크	19	핸들러	0x100ad240	0x100ad2c0	0x100c1fa0	sound	1346	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
548	35	소울 스트라이크	19	핸들러	0x100ad240	0x100ad3b6	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	700:6	-	-
548	35	소울 스트라이크	19	핸들러	0x100ad240	0x100ad42f	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40-10	나+0x86+20	esp+0x28	맵	0	0	&esp+0x14+0x1	700:6	-	-
548	35	소울 스트라이크	19	핸들러	0x100ad240	0x100ad53f	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
548	35	소울 스트라이크	19	핸들러	0x100ad240	0x100ad5b0	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
548	35	소울 스트라이크	19	핸들러	0x100ad240	0x100ad6b5	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	esp+0x14	-	-	-
548	35	소울 스트라이크	19	핸들러	0x100ad240	0x100ad72a	0x100c1fa0	obs?	700	esp+0x20	cell	esp+0x34	&나+0x86+20+0x-28	esp+0x28	맵	0	0	&esp+0x14+0x1	-	-	-
548	35	소울 스트라이크	19	핸들러	0x100ad240	0x100ad82d	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
548	35	소울 스트라이크	19	핸들러	0x100ad240	0x100ad89e	0x100c1fa0	obs	700	2	cell	esp+0x34	나+0x86+20+40+10	esp+0x28	맵	0	0	esp+0x14	700:2	-	-
549	35	소울 스트라이크	18	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
549	35	소울 스트라이크	18	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
549	35	소울 스트라이크	18	핸들러	0x100ad240	0x100ad2c0	0x100c1fa0	sound	1346	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
549	35	소울 스트라이크	18	핸들러	0x100ad240	0x100ad3b6	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	700:6	-	-
549	35	소울 스트라이크	18	핸들러	0x100ad240	0x100ad42f	0x100c1fa0	obs	700	6	cell	나+0x84+20+-40-10	나+0x86+20	esp+0x28	맵	0	0	&esp+0x14+0x1	700:6	-	-
549	35	소울 스트라이크	18	핸들러	0x100ad240	0x100ad53f	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
549	35	소울 스트라이크	18	핸들러	0x100ad240	0x100ad5b0	0x100c1fa0	obs?	700	esp+0x1c	cell	&esp+0x28+0x28	나+0x86+20	esp+0x28	맵	0	0	esp+0x14	-	-	-
